id;title;description;level;format;start;end;isFullDay;room;isServiceSession;speakers
454540;Architectural Awareness: Engineering Super-skill;"Awareness is the knowledge or perception of a situation or fact, which based on myriad of factors is an elusive attribute. Likely the most significant unasked for skill… perhaps because it's challenging to ""measure"" or verify. It is challenging to be aware of aware, or is evidence of it's adherence. This session will cover different levels of architectural awareness. How to surface awareness and how you might respond to different technical situations once you are aware.

Within this session we look holistically an engineering, architecture and the software development process. Discussing:

* Awareness of when process needs to change (original purpose of Agile)
* Awareness of architectural complexity
* Awareness of a shift in architectural needs 
* Awareness of application portfolio and application categorization 
* Awareness of metrics surfacing system challenges
* Awareness of system scale (and what scale means for your application)
* Awareness when architectural rules are changing
* Awareness of motivation for feature requests
* Awareness of solving the right problem

The focus of the session will be mindful (defined as focusing on one's awareness), commentating in sharing strategies for heightening awareness as an architect and engineer.";Intermediate;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Grand Ballroom A;False;
455570;A guided journey into AI;Do you feel like an explorer in uncharted territory with all the different terminology around the area of Artificial Intelligence? Don’t despair!  In this session I'll explain the difference between classical machine learning and deep learning and their strengths and limitations.  I’ll also show how modern AI advances allow us to combine natural language and vision to see what a neural network can imagine. Come get some inspiration and find out where to go next to learn about exciting AI topics!;Introductory and overview;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Grand Ballroom B;False;
455259;Chopping the monolith;"Micro services are ubiquitous. However, most companies that implement micro services do not reap their full benefits - at best. At worst, it’s an epic failure.

There are reasons for micro services: independent deployment of business capabilities. However, the unspoken assumption is that you need to deploy all capabilities all the time. My experience has shown me that it’s plain wrong. Some capabilities need frequent deployment, while some are much more stable. In “the past”, we used Rule Engines to allow updating business rules without deployment. While it solved the problem, this approach had issues. Between introducing a Rule Engine and migrating your complete system to micro services, I believe that there’s a middle path, and that this path is Function-as-a-Service.

In this talk, I’ll detail every point I’ve made above, and show how one can use Serverless to pragmatically design a system that allows deploying as often as you need.";Intermediate;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Grand Ballroom C;False;
451993;Orchestrate and build serverless solutions with Azure Logic Apps;This presentation will cover how developers can and should be using Azure Logic Apps as a viable solution when building out serverless processes.  With over 200 connectors and the ability to orchestrate workflows, Logic Apps can get you up and running fairly quickly.  Logic Apps also allow for full integration with the Azure Active Directory, and can easily leverage other pieces of your Azure solutions, including Key Vaults and Azure Functions.  This talk will show how to use Logic Apps, as well as discuss the when and why for using logic apps.  The talk will also highlight a few gotchas and things every developer should know before committing to using logic apps.;Introductory and overview;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Junior Ballroom A;False;
446332;But It was Logged!  Practical Logging & Monitoring with .NET Core;".NET Core makes writing log entries a breeze within your applications, however, that is where the out-of-the-box simplicity ends.  So you have decorated your code with all of these pretty log messages that are designed to make your life easier, but then what?  Have you actually reviewed them?  Something bad happened, did it tell you?  What about confidential information, have you limited that from being logged?

Well, this session is designed to help take your logging from ***IMPLEMENTED*** to ***USABLE***.  Logging is great, but we have so many questions to answer, including where you store the logs, how you get notifications etc.  In this code-focused solution, we explore the following concepts, with detailed examples.

* Where to log entries to, and flexible configurations
* Monitoring and escalation of log entries
* Integration with logging & external assemblies
* Configuration & build systems with logging

At the end of the session, attendees should be able to work with logging and exception handling in .NET Core effectively. ";Intermediate;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Junior Ballroom B;False;
460761;Leadership Journey: From Individual Contributor to Leader;"You’ve spent years working on your technical skills and can write code with the best of them. Then, one day, a leadership position opens up on your team, and you start thinking about it. Should I or shouldn’t I? What if I hate it? What if I love it? What if I'm not that good at it? In this interactive session,
we’ll explore “why leadership,” answer some hard questions, and talk about one developer’s path from individual contributor to leader.";Introductory and overview;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Junior Ballroom C;False;
454184;C# Past, Present, and Beyond;With the modern open source C# Compiler we've seen so many new language features it's hard to keep up. In this session we'll survey as many of the newer language features from C# 6 string interpolation to C#9 Records and see how you can take advantage of them in your applications today.;Intermediate;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Junior Ballroom D;False;
450433;3-Minute Improv Games to Improve Your Teams;This unique workshop will have you out of your seat and on your feet actively practicing the techniques Improv Teams use to build Collaboration, Creativity, Communication, and Trust. This hands-on workshop provides actionable material for participants to use immediately upon returning to work. A flier with the top 20 games is provided to every participant.;Introductory and overview;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Room D1;False;
454706;Exploring Serverless Options for .NET in Azure, AWS, and Beyond;When it comes to serverless hosting options for .NET, there are a bevy of choices available for deploying your application, from AWS to Azure to Google Cloud Platform (no, really). In this session, Spencer will explore the multitude of serverless options for .NET, from Azure App Service to AWS Lambdas to Azure Functions and more. We'll discuss the development experience, ease of deployment, and upfront (and downstream) costs. Finally, we'll talk about options for promoting your app should you outgrow your serverless solution.;Intermediate;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Room D2;False;
454991;An Agile Approach to Documentation and Onboarding Your Team;"So, how's the documentation coming along on your project?  How long does it take to on-board someone on your team whether technical or non-technical?  Is your documentation getting lost in User Stories that get completed?

I have been working to discover effective approaches to documentation and creating on-boarding content for new team members.  I look forward to sharing some tools, techniques, and examples that you can apply to your next project.  The value of creating effective documentation is just as important as the product itself.";Introductory and overview;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Room 101;False;
452888;A new approach to upskilling your workforce;"""In order to scale initiatives. we need to transform the way the organization learns""

There is always a high need for new skills.  What is your strategy to upskill your workforce?  

I will share the training programs that I have created during a transformation that lead to higher learning retention and skills gain.  I will share what worked and how we not only changed the training approach, we also had to change the way we measured the effectiveness of the training to know if we are having a meaningful impact.";Introductory and overview;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Room 102;False;
452649;"Don't put your messages in a bottle; Implement messaging patterns";"When building enterprise solutions, messages are the heart of our communication. They convey commands and data between various systems and ensure that we can work in a decoupled, scalable, and distributed manner. Our messages represent value, so we can't just slip them in a bottle, toss them into the ocean, and hope they arrive at their destination. Instead, we need a messaging backbone that can provide resilience and stability. Therefore, we implement proven messaging patterns, to ensure they are handled with the care they deserve.

In this session we will have a look at these messaging patterns, and how they can help in modern software architecture. As a result we come to understand how secure and reliable communication help us solve complex messaging challenges. 

Come and learn about handling transactions involving different systems, implementing data consistency across them, and controlling intermittent and critical failures. The patterns explained in this session are vendor agnostic, we will use Azure Service Bus to explain some of the specifics, however they can be applied to any message broker.";Introductory and overview;Session;08/28/2023 08:30:00;08/28/2023 09:30:00;False;Room 103;False;
455290;Demystifying Web API Security in Azure;"Building APIs can be easy, but securing them is hard. We have external and internal applications, APIs, users, and more. Each might use a different authentication and authorization strategy, depending on customer and system needs. The stakes are high and there is no margin for error!

In this talk, we’ll look at the different categories of applications and users, and what possibilities we have for securing them. We’ll also look at what Azure provides for securing internal users and applications, and an external provider such as Auth0 for external users and applications. We’ll also cover different authentication and authorization strategies, and how we can map these to our various communication scenarios.

Finally, we’ll look at a full end-to-end example using .NET 5 and Azure, building out a playbook for the common and not-so-common scenarios we encounter.";Intermediate;Session;08/28/2023 09:45:00;08/28/2023 10:45:00;False;Grand Ballroom A;False;
467707;ChatGPT, OpenAI, and Power Platform | How to leverage Chat GPT to enable AI your Power Apps;Learn how to leverage OpenAI services such as  ChatGPT within your Power Apps and Power Automate flows;Introductory and overview;Session;08/28/2023 09:45:00;08/28/2023 10:45:00;False;Grand Ballroom B;False;
450494;Agile: You Keep Using That Word...;Much like the DOTCOM boom when everyone declared themselves a programmer, once David Norton (Gartner Research) declared agile mainstream on August 26, 2009, you can’t throw a stone without hitting someone who claims to be an Agilista.  From the proliferation of “agile” frameworks and certifications, to all of the people who decided to hang out a shingle as a coach, it can be hard to remember what is the essence of being agile.  In this talk, I remove the fluff and hyperbole, and get down to the roots of what it means to be agile.;Intermediate;Session;08/28/2023 09:45:00;08/28/2023 10:45:00;False;Grand Ballroom C;False;
454846;AppSec 101: Live Demos of Real-World Application Security Attacks;"In this session, join Jason Gillam for a thrilling journey into the attacker's mindset as he demonstrates real-world application security attacks. Through live demos of attack scenarios, Jason will show you how attackers exploit common vulnerabilities such as injection attacks, cross-site scripting, and privilege escalation.

This session will be an eye-opening experience for developers and anyone who wants to learn more about application security. You'll gain a deeper understanding of how attackers think, and learn practical strategies for protecting your applications from their attacks.

You'll leave this session with a greater appreciation for the challenges of defending against  attackers, and a toolkit for improving your application security posture. Don't miss this opportunity to learn from a leading penetration tester and security expert.";Intermediate;Session;08/28/2023 09:45:00;08/28/2023 10:45:00;False;Junior Ballroom A;False;
445000;New Product Concept & Design Workshop;"There's never been a better time to create amazing technology solutions. In this hands on workshop, you will learn the fundamental skills and techniques necessary to transform a digital dream into a viable solution that your customers and users will love. ";Intermediate;Session;08/28/2023 09:45:00;08/28/2023 10:45:00;False;Junior Ballroom B;False;
448655;Automate your cloud application testing with Playwright;"Your company has CI/CD (continuous integration/continuous deployment), you’ve created a culture of regular cloud deployments, but your tests aren’t automated? Automated testing is the next frontier in quality assurance. Let’s make more technically resilient applications in the cloud. In this fun and interactive session, you'll learn how to harness the power of Playwright to automate web tasks with ease. From setting up your own automated tests to discovering the latest trends in web automation, you'll leave this session with the skills and knowledge you need to become a web automation wizard. Attend this session to hear and see a demonstration of testing at scale for your cloud applications.  ";Introductory and overview;Session;08/28/2023 09:45:00;08/28/2023 10:45:00;False;Junior Ballroom C;False;
452057;Memory First: An Introduction to Redis;"Odds are, you’ve heard of Redis. Maybe you’re a total noob and want to learn all about it. Maybe you’ve used it to cache an API call or some JSON strings and want to know what else it can do. Maybe you *haven’t* heard of Redis and are curious what all the fuss is about.

Wanna find out? Join me as I explain what Redis is—a wicked-fast, memory-first database—and why you should care. I’ll share with you what it can store, how you can access it, and how you can make sure that what’s in memory is still there when the power goes off. We’ll explore how you can extend Redis—adding new commands, new data structures, and new capabilities. And, we’ll do it both from the command line and from code with examples in C#, Java, JavaScript, and Python.

When we’re done, you’ll know what Redis is and what all the fuss was about. But, more importantly, you’ll know how to put memory first to build fast applications and faster experiences.";Introductory and overview;Session;08/28/2023 09:45:00;08/28/2023 10:45:00;False;Junior Ballroom D;False;
443049;File New: Build a Event-Driven Architected Microservice from Scratch;Event-driven microservice architectures provide a versatile approach to designing and integrating complex software systems with independent, encapsulated components. During this session, we will focus on the how by starting with an empty Visual Studio solution and building a complete event-driven architected microservice to solve a real-world problem. You will see firsthand how to design, develop, and deploy a decoupled, encapsulated, responsive, scalable, and independent solution. We’ll talk about potential pitfalls, and you will see how to get around them.;Intermediate;Session;08/28/2023 09:45:00;08/28/2023 10:45:00;False;Room D1;False;
447326;Building MVVM Apps with .NET MAUI & Prism;".NET MAUI is here, and is a major evolution to Xamarin.Forms. Ok, it sounds like a fancy of way saying an update that broke your app. Whether you are trying to update your legacy Prism.Forms app, or getting ready to build a new Prism.Maui app you're probably wondering where to even start. It's time to build powerful apps that leverage the best that .NET MAUI has with the #1 MVVM Framework in the .NET Ecosystem.

In this talk we'll hear from Prism's lead maintainer on the changes that we see in the application design patterns between Xamarin.Forms and .NET MAUI. How this affected Prism. How all of this will affect your apps, and what subtle changes exist between Prism.Forms and Prism.Maui. Learn how to easily migrate your existing apps, and how to get started building your new greenfield apps. Plus we will discuss common bad practices that we see and how to fix them, improving the testability & reliability of your Codebase!";Introductory and overview;Session;08/28/2023 09:45:00;08/28/2023 10:45:00;False;Room D2;False;
